date,time,venue,topic,presenter,paper_authors,paper_title,paper_venue,paper_year,slides_link,paper_link,arxiv_link
,,,,Kai Han (Invited Seminar),"""Transformer in Transformer""",,,,http://www.csc.kth.se/cvap/cvg/ml-seminars/,,
,,,,Hugo Touvron (Invited Seminar)Alaa El-Nouby (Invited Seminar),"""Training data-efficient image transformers & distillation through attention / Going deeper with Image Transformers""""Training Vision Transformers for Image Retrieval""",,,,http://www.csc.kth.se/cvap/cvg/ml-seminars/,,
,,,,Mostafa Dehghani (Invited Seminar),"""Temporal-Relational CrossTransformers for Few-Shot Action Recognition""",,,,http://www.csc.kth.se/cvap/cvg/ml-seminars/,,
2021-04-06,,,,Sofia BrooméPeiyang (Yonk) Shi,Perrett et al.,Temporal-Relational CrossTransformers for Few-Shot Action Recognition,", CVPR 2021Zheng et al., ""Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers"" arXiv",2020,https://www.csc.kth.se/cvap/cvg/rg/materials/sofia_003_slides.pdf,,
2021-03-23,,,,Youssef Mohamed,Devlin et al.,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,", NAACL 2019Radford et al., ""Improving Language Understanding by Generative Pre-Training"", 2018Brown et al., ""Language Models are Few-Shot Learners"", NeurIPS",2020,https://www.csc.kth.se/cvap/cvg/rg/materials/youssef_001_slides.pdf,,
2021-03-09,,,,Federico Baldassarre,Dosovitskiy et al.,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,", ICLR 2021Carion et al., ""End-to-End Object Detection with Transformers"", ECCV 2020Chen et al., ""Generative Pretraining from Pixels"", ICML",2020,https://www.csc.kth.se/cvap/cvg/rg/materials/federico_003_slides.pdf,,
2021-02-23,,,,Sebastian Bujwid,Vaswani et al.,Attention Is All You Need,", NeurIPS",2017,https://www.csc.kth.se/cvap/cvg/rg/materials/sebastian_002_slides.pdf,,
2020-06-16,,,,Miquel Marti,"Zamir et al. ""Robust Learning Through Cross-Task Consistency""",,CVPR,2020,https://www.csc.kth.se/cvap/cvg/rg/materials/miquel_002_slides.pdf,,
2020-06-02,,,,Yue Liu,Kang et al.,Decoupling Representation and Classifier for Long-Tailed Recognition,", ICLR 2020Zhou et al., ""BBN: Bilateral-Branch Network with Cumulative Learning for Long-Tailed Visual Recognition"", CVPR",2020,https://www.csc.kth.se/cvap/cvg/rg/materials/yue_002_slides.pdf,,
2020-05-19,,,,Sofia Broome,Feichtenhofer et al.,SlowFast Networks for Video Recognition,", ICCV",2019,https://www.csc.kth.se/cvap/cvg/rg/materials/sofia_002_slides.pdf,,
2020-04-21,,,,Xiaomeng (Mandy) Zhu,"Qin et al. "" PointDAN: A Multi-Scale 3D Domain Adaption Network for Point Cloud Representation""",,NeurIPS,2019,https://www.csc.kth.se/cvap/cvg/rg/materials/mandy_001_slides.pdf,,
2020-04-07,,,,Johan Haslum,"Berthelot et al. ""ReMixMatch: Semi-Supervised Learning with Distribution Alignment and Augmentation Anchoring""",MixMatch: A Holistic Approach to Semi-Supervised Learning,"ICLR 2020Berthelot et al. , NeurIPS 2019Sohn et al., ""FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence"", arXiv",2019,https://www.csc.kth.se/cvap/cvg/rg/materials/johan_001_slides.pdf,,
2020-03-24,,,,Jevgenija Aksjonova,Novak et al.,Neural Tangents: Fast and Easy Infinite Neural Networks in Python,", ICLR 2020.Lee et al., ""Deep Neural Networks as Gaussian Processes"", ICLR",2018,https://www.csc.kth.se/cvap/cvg/rg/materials/jevgenija_002_slides.pdf,,
2020-02-25,,,,David Mohlin,Shuai Liao,,"Efstratios Gavves, Cees G. M. Snoek, ""Spherical Regression: Learning Viewpoints, Surface Normals and 3D Rotations on N-Spheres"", CVPR",2019,https://www.csc.kth.se/cvap/cvg/rg/materials/david_002_slides.pdf,,
2020-02-11,,,,Christos Matsoukas,Amirata Ghorbani,,"James Wexler, James Zou, Been Kim, “Towards Automatic Concept-based Explanations"", NeurIPS",2019,https://www.csc.kth.se/cvap/cvg/rg/materials/christos_002_slides.pdf,,
2020-01-28,,,,Emir Konuk,Tero Karras et al.,Analyzing and Improving the Image Quality of StyleGAN,", arXiv",2019,https://www.csc.kth.se/cvap/cvg/rg/materials/emir_002_slides.pdf,,
2020-01-21,,,,Matteo Gamba,Roman Novak,Sensitivity and generalization in neural networks: an empirical study,"et al., , ICLR",2018,https://www.csc.kth.se/cvap/cvg/rg/materials/matteo_002_slides.pdf,,
2019-12-03,,,,Federico Baldassarre,1) Peyre,Detecting unseen visual relations using analogies,"et al., , ICCV 20192) Peyre, et al., ""Weakly-Supervised Learning of Visual Relations"", ICCV",2017,https://www.csc.kth.se/cvap/cvg/rg/materials/federico_002_slides.pdf,,
2019-11-26,,,,Daphna Weinshall,"""Beyond Accuracy: Neural Networks Show Similar Learning Dynamics Across Architectures""",,,,https://www.csc.kth.se/cvap/cvg/rg/materials/marcus_002_slides.pdf,,
2019-11-19,,,,Lennart Van der Goten,"Tsai et al. ""Domain Adaptation for Structured Output via Discriminative Patch Representations""",,ICCV,2019,https://www.csc.kth.se/cvap/cvg/rg/materials/lennart_001_slides.pdf,,
2019-11-05,,,,Alexandros Ferles,1) Mingxing Tan,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,"Quoc V. Le, , ICML 20192) Jie Hu, Li Shen, Samuel Albanie, Gang Sun, Enhua Wu, ""Squeeze-and-Excitation Networks"", PAMI 2019 (CVPR",2018),https://www.csc.kth.se/cvap/cvg/rg/materials/alexandros_001_slides.pdf,,
2019-10-22,,,,Peiyang (Yonk) Shi,Xinlei Chen,TensorMask: A Foundation for Dense Object Segmentation,"Ross Girshick, Kaiming He, Piotr Dollar, , ICCV",2019,https://www.csc.kth.se/cvap/cvg/rg/materials/yonk_001_slides.pdf,,
